example_id,subject_name,subject_type,source_universe,classification_code,classification_label,awareness_failure_score,intent_failure_score,control_failure_score,short_rationale,evidence_points,notes
EX001,Ned Flanders,fictional_character,The Simpsons,K0,normal,0,0,1,"Generally prosocial, fair, and self-controlled.",Kind to neighbors; low selfishness; low recklessness.,Baseline reference case.
EX002,Michael Scott,fictional_character,The Office,K4,shitbird,4,1,4,"Often oblivious and impulsive, creating chaos without sustained malice.",Poor social judgment; reckless management choices; attention-seeking behavior.,K1 + K3 profile.
EX003,Dwight Schrute,fictional_character,The Office,K3,jackass,1,2,4,"Reckless, ego-driven, and disruptive more than ignorant.",Overzealous enforcement; dominance displays; poor restraint.,Primary pattern is control failure.
EX004,Joffrey Baratheon,fictional_character,Game of Thrones,K6,fuckhead,1,5,5,"Cruel, selfish, and impulsively harmful.",Delights in others' suffering; abuses power; low restraint.,K2 + K3 profile.
EX005,Homer Simpson,fictional_character,The Simpsons,K1,idiot,4,1,2,Bad judgment and poor foresight drive most problems.,Repeatedly misunderstands consequences; usually not strategically malicious.,Primary pattern is awareness failure.
EX006,Frank Gallagher,fictional_character,Shameless,K5,dipshit,3,5,2,Exploitative and selfish while also reasoning badly and irresponsibly.,Uses others; evades responsibility; poor long-term judgment.,K1 + K2 profile.
EX007,Saul Goodman,fictional_character,Breaking Bad / Better Call Saul,K2,asshole,0,4,2,"Highly aware and socially intelligent, but often self-serving and manipulative.",Knows consequences; bends rules for self-interest; exploits situations.,Primary pattern is intent failure.
EX008,Trevor Philips,fictional_character,Grand Theft Auto V,K6,fuckhead,1,4,5,"Violently impulsive and harmful, with obvious disregard for others.",Extreme recklessness; intimidation; destructive impulse.,K2 + K3 profile.
EX009,Leslie Knope,fictional_character,Parks and Recreation,K0,normal,1,0,1,"Strongly prosocial, conscientious, and mostly well-regulated.",Community-oriented; low selfishness; high diligence.,Positive reference case.
EX010,Eric Cartman,fictional_character,South Park,K6,fuckhead,1,5,4,Knowingly selfish and highly disruptive.,Manipulative; callous; reckless toward others.,K2 + K3 profile.
EX011,Generic corrupt executive,abstract_role_example,synthetic,K2,asshole,0,5,1,Understands the system and knowingly exploits others for gain.,Intentional self-dealing; strategic concealment; low empathy.,Synthetic training example.
EX012,Generic reckless influencer,abstract_role_example,synthetic,K3,jackass,1,2,5,Chases attention with little restraint or foresight.,Risk-taking; showmanship; weak inhibition.,Synthetic training example.
